location,rating,review,review_date,type_of_visit,date_of_visit,country,latitude,longitude
"Singapore, Singapore",3.0,"it cost Rp450,000 for entrance including sunrise. It was crowded. Quite a nice temple to visit but overprice for the place.Visit once will do.",2017-09-06,,2017-09,singapore,1.357107,103.8194992
"Singapore, Singapore",3.0,"We took the sunrise package through Manohara hotel, it came at pretty high price and only one entry.There were some 1000 tourists along with us on top, so if u r a photographer then forget about your perfect shots, as there will be tourists everywhere with selfie sticks.Otherwise the view and sunrise is very good. It would have been even nicer if there were monks here and prayers were offered.",2017-09-05,,2017-09,singapore,1.357107,103.8194992
"Kuala Lumpur, Malaysia",5.0,"We woke up at 3:30am and started the journey from hotel to Borobudur. It was amazing that my children could wake up that early.We were glad to be there by 4:30am as the queue for tickets was already quite long. By the time we reached the top of Borobudur, it was already near sunrise and some folks have already got their tripods ready and got some nice spots. I don't recommend old folks to go and parents with children too young as well. The climb was ok but steep. Climbing down can also be dangerous. It got warm in Borobudur after sunrise, so, don't to visit after 8am.Overall Borobudur is an awesome place. I'm not a Buddhist, yet, visiting this beautiful monument is simply satisfying",2017-09-05,Family,2017-09,malaysia,4.5693754,102.2656823
"Viborg, Denmark",4.0,"Quiet an experience. We went for the sunrise tour and paid 450000 to get in, pretty expensive, and we did t get to see the sunrise because it was too cloudy... Sad. But to get to walk around d the temple was cool. Negative. A LOT OF PEOPLE EVERYWHERE!",2017-09-05,Friends,2017-09,denmark,55.670249,10.3333283
"Balwyn, Australia",4.0,"We were recently in Yogyakarta and although we'd visited Yogyakarta previously over 20 years ago we decided that we would get up early and make the trek out at sunrise.  We had a motorbike for the trip and fortunately could buy a domestic entrance ticket so we paid only 40000rp per person.  At this price it was certainly a bargain.Unfortunately it was foggy on the morning we went but in a way, it added to the magic of the place as the sun rose and the fog seemed to melt away leaving us with those well known and loved vistas.It was also disappointing to find the number of tourists with selfie sticks (in Indonesia these are well named as 'Egoism sticks').  They seemed to spend more time looking at themselves rather than the temple.  Very few people actually walked around the lower levels to see the amazing friezes.Borobudur should definitely not be missed.  It is a masterpiece.",2017-09-03,,2017-08,australia,-24.7761086,134.755
"Kuala Lumpur, Malaysia",4.0,Waiting for sunrise but there is no Sunrise at all. Not disappointed but definitely a place for photos. To take a good photos you gotto patient for many photo bomb around.,2017-09-03,Friends,2017-08,malaysia,4.5693754,102.2656823
,5.0,"We went there by bus from Jomblang terminal (25k, one hour). For the joined ticket (Borobudur + Prambanan, valid 2 days, not 48h!!!)  for students we paid 325K. Seightseeing took us 2h. The temple is amazing!",2017-09-03,Friends,2017-09,,,
"Dubai, United Arab Emirates",5.0,It's amazing to watch the sun come up at Borobudur temple. It's just majestic and fills you up with a sense of awe. Defo worth an early start !,2017-09-03,,2017-08,united arab emirates,24.0002488,53.9994829
,5.0,"Especially striking is the sheer size of this place, the landscape around it, and the beautiful reliefs running around all levels of the temple. Mesmerizing.",2017-09-03,Couples,2017-08,,,
"Manila, Philippines",5.0,"After visiting Angkor Wat some years ago, I needed to visit what many consider as her ""sister temple"" ... the Borobudur Temple, in Central Java, Indonesia. From Denpasar, Bali I flew to Yogyagarta ... a short flight of only about an hour and 30 minutes, stayed there for three days, and joined a day tour to the famous temple. The organizer picked me up from the hotel very early in the morning. We went to collect others who were joining the same tour.The van ride took us about one hour and 45 minutes to reach Borobudur. The view of the active Merapi volcano along the way was simply beautiful! The guide first took us to one of the eateries in the area (named ""Rambutan"") for a quick breakfast, and then gave us some instructions including the exact time by which we should be back to the same drop-off point.It's quite a long walk from the drop-off point to the temple proper. I met other tourists along the way, who were kind enough to take some of my photos. Finally I reached the temple and, wow, what a structure it was! The place was not yet that crowded when I got there since it was still rather early. Thus I was able to roam around quite comfortably.Borobudur is a 9th-century Buddhist temple (unlike its Cambodian counterpart, the Angkor Wat, which was originally a Hindu temple). It is the world's largest Buddhist temple! The Guinness Book of Records also says that it is the world's largest Buddhist archaeological site. It is also listed as a UNESCO Heritage Site.The structure consists of nine platforms ... six square and three circular ... topped by a central dome. It is decorated with thousands of bas-relief panels and hundreds of Buddha statues. The central dome is surrounded by 72 Buddha statues, each seated inside a perforated dome (called ""stupa""). Every single detail of it is not only an ideal spot for picture-taking, but is likewise rich in history and symbolism. In fact, the whole structure is like one giant Buddhist mandala, depicting Buddhist cosmology.When visiting the place, I suggest that you go there early to avoid the crowd and the heat. Also stay away from people selling guide books for the moment you entertain them, they won't let go of you until you buy their merchandise! Lastly, read something first about Buddhism, the life of Buddha and Buddhist philosophy to be able to appreciate the details of the temple more.",2017-09-03,Solo,2017-05,philippines,12.7503486,122.7312101
,5.0,"You can read about it, you can see pictures about it in many books, but you can not imagine the feeling how it is to walk inside, to stay at the top between the stupas, to regret that so many pieces would be destroyed and you wouldn' t like to leave it only to make some more rounds around...to check the pictures and imagine what the people at the time of building it thought about the world itself...Highly recommended to visit!",2017-09-03,Couples,2017-09,,,
"Honolulu, HI",5.0,"A UNESCO world heritage site, the temple was built in the 9th Century and unknown to the Western world until the British arrived in the early 19th Century and the locals told Governor General Raffles of the site.  It was in disrepair and eventually restored but not before looters stole Buddha statues and heads.  Be prepared to climb 9 levels and view the friezes of the life of Buddha.  Entrance fee is $25 and pay a guide 100,000 IDR (about $13 US) for an explanation in English, German or Dutch.",2017-09-02,Business,2017-09,united states,39.7837304,-100.445882
"Sandton, South Africa",5.0,Went to catch sunrise at Borobudur Temple. It was quite good.... After the sun was up we walked around and extensively explored....looking at the hieroglyphics.,2017-09-02,Friends,2017-06,south africa,-28.8166236,24.991639
,4.0,"I would recommed this place but be warned that it is not cheap at all as of the latest pricing! The entrance fees to Borobudur temple only is 20 USD (IDR325k)Combo ticket to visit Borobudur and Prambanan : USD 40 (IDR520k)The rate above is for non-indonesian and the ticket price is cheaper for local people, but i'm not too sure how much are they.",2017-09-02,Solo,2017-08,,,
"Plettenberg Bay, South Africa",5.0,"Most tourist upon the advice of local guides visit this magnificent site at sunrise. I however was lucky to take the advice of a local driver (YUDI +6285733645592).Yudi advised us to go at sunset rather and we did. What a treat. Not only was the place not crowded but the sunset view was something else.  Do get your tickets and get in before they close the gates at 5.  Now you have about an hour to visit the temple and enjoy the sunset views. This famous Buddhist temple, dating from the 8th and 9th centuries, is located in central Java. It was built in three tiers: a pyramidal base with five concentric square terraces, the trunk of a cone with three circular platforms and, at the top, a monumental stupa. The walls and balustrades are decorated with fine low reliefs, covering a total surface area of 2,500 m2. Around the circular platforms are 72 openwork stupas (looking like birdcages), some of them still containing a statue of the Buddha, others with the buddha's heads sadly stolen in history.",2017-09-01,Couples,2017-08,south africa,-28.8166236,24.991639
Providence,5.0,"The temple is a must-see for anyone in the area.  It is one of the best-preserved and largest temples on Earth, and is really too spectacular for words.  We spent extra for the sunrise tour.  I would say that the sunrise alone is probably not worth paying extra for, and the temple was actually quite crowded even at 4:30 in the morning.  However, it is definitely worth the extra effort and money to be able to enjoy the cool early morning air at the temple, rather than walking around in the mid-day heat.",2017-09-01,Couples,2017-08,united states,39.7837304,-100.445882
,4.0,"We paid extra to go and watch the sunrise from Borobudur...so had hundreds of other people. When we got up to the top it was difficult to find somewhere to sit. Everyone just wanted to take photos and selfies instead of enjoying the scenery. The sunrise was slightly disappointing and I don't think you miss out on anything but visiting later in the day. The temple itself is incredibly stunning. I walked around it whilst everyone was watching the sunrise so I could properly take it all in. For the 30 minutes following the end of the sunrise it is very busy, but the crowds soon get bored and disappear. This is the best time to take photos yourself or just sit and take it all in. The view from the temple across the forest is stunning. I think it's a must do if you're in the area but don't worry about getting up early for sunrise.",2017-08-31,Couples,2017-08,,,
Taiwan,3.0,"350,000 for a foreigner ticket. amazing temple. too hot to walk around in the park.watch the scammers and remember to negocieate the price with the vender.",2017-08-30,Couples,2017-08,taiwan,23.5983227,120.83537694479215
melbourne,4.0,"Arrived at the temple around 11:30am, temperature around 32deg & we were struggling in the heat. Unfortunately there was not much shade at the temple grounds, so do wear hats & bring lots of water. Plenty of steps to climb.  Fortunately there was not much crowd, we had many beautiful photos with no one in it. Unbelievable to think this temple is over 1000 years old, very impressive. My biggest complaint however is the exit out of the temple grounds, which involved over 1km of walking through repetitive craft & souvenir shops. Yes, over 1km of walking in the heat!!  Sadly they did the same thing at Prambanen. Rant over, please visit this site its definitely one of the top 3 temple sites in SE Asia (alongside Angkor Wat & Bagan)",2017-08-30,Family,2017-06,australia,-24.7761086,134.755
,4.0,"It's a hour drive and not that cheap, but the temple was very impressive although a lot smaller that I expected and certainly when compared to Angkor  Wat. The temple can be done in an hour and after that it's a massive park with some stunning views. You will need to dress respectfully or wear a Borobudur skirt guys lol. Watch out for the hard sell in market maze as you try to exit it's a real selling trap.",2017-08-29,Couples,2017-08,,,
Singapore,5.0,Breathtaking views of the rising sun from the top of Borobudur Temple. Be there early if you want a spot to sit and watch the sunrise. I was there about 50 mins before sunrise but all the strategic spots were already occupied.,2017-08-28,Family,2017-08,singapore,1.357107,103.8194992
,5.0,"We decided to see Borobudur at sunrise and it well worth it! Tours can be booked at the hotel the day before and depart at 4am from your hotel. I suggest to join a tour as it hassle free, takes care of transport, entrance ticket and includes a light breakfast included. The mist surrounding the forest around Borobudur at dawn gives it a beautiful mystic feel and makes the sunrise magical. It can get slightly cold in the morning, so dress warm. A regular sweater or light fleece jacket will be sufficient. Wear light pants if you also like to keep your legs out of the chill.",2017-08-27,,2017-08,,,
"Cairo, Egypt",5.0,Lovely way to the temple with a mini train..Had great selfies with the great temple...Cover your head or use an umbrella...Climb up the difficult stairs but the view at and from the top is worthy..I had a lovely cart ride back with a horse and a very kind horse driver...,2017-08-27,Business,2017-08,egypt,26.2540493,29.2675469
"Eugene, OR",5.0,"Cannot recommend coming to see Borobudur enough. It's absolutely stunning. We toyed with the sunrise tour, but the 4am start put us off. We came in the morning instead and it was still great. Thankfully it wasn't too hot. Getting in and buying the ticket is easy, and you get a bottle of water with your entrance. If you have your knees on show, they'll give you a sarong to cover them. Some of the steps on the way up are pretty large, but even the most unfit will be able to cope. You can buy a combined ticket here for both Borobudur and Prambanan which saves you some cash and is valid for two days. Around 3.5KM from Borobudur is a small temple called Mendut which is only Rp3000 to enter and worth having a look. When we visited, it was empty.",2017-08-25,Couples,2017-08,united states,39.7837304,-100.445882
"Kutchan-cho, Japan",5.0,This is great. But was very crowded when we visited (A weekday morning.) You don't need a guide to visit this place. But good to have a one if you like to learn more about the history and architecture.,2017-08-24,Friends,2017-08,japan,36.5748441,139.2394179
"Indianapolis, IN",5.0,Watching the sunrise behind distant Mt Merapi from the top of the Borobudur temple is the perfect time to experience this amazing temple ... but good luck trying to get photos without dozens of people taking selfies.,2017-08-23,Couples,2017-08,united states,39.7837304,-100.445882
"Cambridge, MA",5.0,"This is one of the most incredible places in the world and deserves several hours -- and spending time there is the key to avoiding frustration at the dawntime crowds.You should go at dawn -- the place is magical at that hour even if you are in the middle of a clicking army of visitors. But linger on after dawn and the crowds rapidly diminish. Walk down to the levels of extraordinary carvings illuminated by the strengthening sunlight and then go up again to be amidst the bells and you will be captivated in a way never to be forgotten.I'd very strongly recommend staying at least one night in the area rather than trying to come in and you from Yogya the same day. If you do that, you can return to your guesthouse or hotel after seeing the main temple, rest a bit, and then go out and see other temples and villages also. The area is attractive and it is easy to find someone to take you round.Public transport to and from Yogya is readily available although it starts and ends at an obscure bus terminal to the north of Yogya city. Alternatively get a car from Gojek or Uber -- although as I found there is sometimes no availability and you may have to take the bus anyway (no big deal!)Just don't rush. Borobudur Temple is a place that grows on you and enchants you with its magnificence -- its enormity, its artwork, its location.",2017-08-23,Solo,2017-07,united states,39.7837304,-100.445882
"Hyderabad, India",4.0,"We did the sunrise visit - paying more than $60 for it and Pembanan temple combined which is rather high priced for Indonesia. Very disappointing, there were too many clouds and we never really got to see a sunrise. Plus there were like a 100 tourists there every one wanting to snap the exact same picture so lots of waiting and some people even asking others to move. Remember this is before the place even opens up to regular tourists at 6am. The Temple it self is wonderful and since we had looked forward to seeing it we were very happy that we got to visit it finally. We spent an hour there post the ""sunrise"" and as the ticket price included tea/coffee at the Manohara hotel next door we ended the visit with some coffee. I would not suggest a sunrise visit to anyone - please check the weather conditions and even then it was too crowded and you would really have to try hard get good pictures. The tourists who bought the lower priced regular tickets and got in after 6am more or less experienced the same thing that we did for much lesser cost.",2017-08-23,Couples,2017-08,india,22.3511148,78.6677428
"Aylesham, UK",5.0,We took the early morning start to watch the sunrise on the hillside before exploring the temples. Best decision we made!!! One of the best sunrises we saw during the whole trip around Indonesia and quite peaceful despite it being rather popular. The temple was a must see...make sure you climb to the top and spend an hour just sitting and looking out! So tranquil! Don't bother getting the breakfast included: we took our own snacks and moved at our own leisure.,2017-08-23,Friends,2017-08,united kingdom,54.7023545,-3.2765753
"Tondano, Indonesia",5.0,"You should definitely come to Borobudur Temple to reload yourself, it is a amazing place with history and science involved.",2017-08-23,Friends,2016-10,indonesia,-2.4833826,117.8902853
"Sonoma, CA",5.0,"This is absolutely a must-see if you are in Yogyakarta area.  We hired a driver from our hotel, very affordable.  He drove us to the temple, and waited in the parking lot for us to be done.  There is food and drink available on site.  Wear comfortable shoes, since you will be climbing up to the top, and there is a fair amount of walking.  Also, take plenty of drinking water.  The sooner you get going in the morning, the better, as it can get really hot out there.  If you have a wrap to wear around your legs, take it, otherwise they give you one to borrow.  Everyone must follow this rule.",2017-08-22,Family,2017-05,united states,39.7837304,-100.445882
,5.0,"This temple is truly breathtaking and amazing, I went to see the sunrise and it was simply magical. The only downfall is that there are soooo many tourist here.",2017-08-22,Friends,2017-08,,,
"Los Angeles, CA",5.0,"It's one of the most magnificent cultural sites in Indonesia and a must visit if you a history buff. Even our kids enjoyed all the carvings and stupas, taking photos and videos. We stayed for sunset, which cost extra. People also get up early to see sunrise. But one big problem that tarnished the trip is the bad air from people burning plastic trash all around, and from the thousands and thousands of motorcycles that burn dirty fuel.",2017-08-21,Family,2017-08,united states,39.7837304,-100.445882
"New Providence, NJ",5.0,"We arrived to the Temple at 9:30am it was not super crowded but it was starting to get hot. Bring water, comfortable walking shoes and an umbrella. on the second level you will see Buddha's life depicted in the relief carvings on the wall. They are spectacular. When you climb to the 3rd level you will see all of the stupas and the amazing panoramic views of the area. This is a perfect place to meditate. This is the largest Buddhist temple in the world which was built in the 8th century. Great Temple to visit.",2017-08-21,Friends,2017-08,united states,39.7837304,-100.445882
"Zurich, Switzerland",5.0,"If you like Angkor Wat, you will also love the Borobudur temples, the more than 1000 years old masterpiece of Buddhist construction and art. Go there early morning for a sunrise view. You should arrive before 5.00am to get a got spot for the sunrise view. Be patient, especially during the dry season. Even if the weather is cloudy and the sunrise might be hidden, the sun can break through every second and create a mystical athmosphere. Shortly after sunrise many people leave and its getting a bit more quiet so you can enjoy the vibrations of the temples. You will find many spots for good pictures or to relax and decellerate.",2017-08-21,Couples,2017-08,switzerland,46.7985624,8.2319736
,1.0,"I didn't do the sunrise tour so can't comment on that. After 18 months of travelling and many different countries, this ranks as the number 1 attraction for worst value for money.I stayed in Yogyakarta and to begin with the journey there and back is just an awful part of it. Then to depart with  325,000 RP to enter is really taking the p###.I've fortunate enough to have gone to Bagan and Angkor and there really is no comparison.How they can justify that price admission is anyones guess.You will be struggling here to make the visit last  2 hours. I've just left the water castle in Yogyakarta and as an attraction, regardless of cost that place is far more interesting ( shame can not get detailed map ?? )The water castle being over 20 times cheaper just highlights how hard it is to justify the entrance fee at borobudar. If your on a budget and are in 2 minds about seeing this place, my advice is don't bother and save your money for something much more worthwhile.As in the title, this is right at the top of the list for the worst value for money attraction in 18 months of travelling.I'm aware that you can get a discounted ticket with Prambanum. Maybe with the joint ticket and the lottery of a sunrise it may well be worth it.Somehow I doubt it",2017-08-21,Solo,2017-08,,,
"Essen, Germany",5.0,"Place have you visit in Yogyakarta area, 55km driving by scooter took me 2 hours to get there. The Best view is in the morning for sunrise but the ticket are so expensive (around $ 40 from Manohara Hotel). we decide to came back to Pucuk Setumbu (Sunrise) and just have to pay 30K. Went down from Hill continue for borobudur entrance, lucky me i have student card! Well better buy 2 ticket in the same time (Borobudur+Prambanan)=425K, valid for 48hours. Tired, on the way back you should drive to menoreh hills. The landscape and restville are amazing, we found waterfall and few river for treking. Prambanan you continue the next day, believe me you should did the same like me! :)",2017-08-21,Couples,2017-08,germany,51.1638175,10.4478313
"Brussels, Belgium",5.0,"We arrived around 8 am and it was a great timing to avoid the big crowd. We actually managed to get pictures on the top without anyone spoiling them :) the temple is beautiful, definitely a must see!!",2017-08-20,Couples,2017-08,belgium,50.6402809,4.6667145
"Jakarta, Indonesia",5.0,"This place is amazing , great place to visit and very nice place with a great landscape ..u can have a great sunrise here...i go here several times un past few years  still amazing place but expensive tickets""",2017-08-20,Family,2017-08,indonesia,-2.4833826,117.8902853
"Vancouver, Canada",4.0,"During my family vacation to Borobudur, we decided to visit the Borobudur Temple. It was beautiful! If you go for the sunset tour, it's quite expensive. But, if you go there right when it opens which is 6 am, you can still watch the sunrise, and the place is not as full as around 9 am. It gets extremely packed as the day goes on and becomes a lot less enjoyable.",2017-08-20,Family,2017-07,canada,61.0666922,-107.991707
"Amsterdam, The Netherlands",4.0,"What a beautiful temple. Great stories and really nice to walk around. We went for sunrise, which you can skip. To busy and missing the quit relaxed atmosphere. It was more like fighting with chinese to find a good spot to see anything. People climbing on the temple to position their go-pro's etc. Not a great experience.But the temple is really nice!",2017-08-20,Family,2017-08,netherlands,52.2434979,5.6343227
"Blandford Forum, UK",4.0,"Visited at about 9 am. Pleasantly surprised, not nearly as busy as some reviews suggested. Magnificent Temple with great views of surrounding country from the top. We paid for an English speaking guide who was good and very informative he charged 150,000 rp. ( under £10) Well worth the visit if you are in the area but not sure I would make special trip to a Java to see it.It is hot climbing up the steep steps, even at 9 in the morning, the sun reflects off the rock, take water up with you. We were advised by some local friends that sunrise is best but it's at 4.30 am ! Apparently, Not much point going at sunset as the temple is in wrong location to benefit from great views as the sun goes down.",2017-08-19,Friends,2017-08,united kingdom,54.7023545,-3.2765753
"Colombo, Sri Lanka",5.0,Best time is to start to climb around 4 am which you will be able to see the sunrise over the Marapi mountain. Place is very ancient and better to get the assistance of an tour guide if you need to know about the place more than you can see. Life time experience and you cannot imagine the attention to detail of stone carvings,2017-08-18,,2017-08,sri lanka,7.5554942,80.7137847
,5.0,"To be honest, it is underwhelming compared to other temple sites such as Angkor Wat. But still it is a great place to visit and enjoy.For sunrise, you could visit an alternative place called Punthuk Setumbu (nirvana sunrise) for 15k IDR (double for foreigner), which cost a lot cheaper than Borobudur. The sunrise in Borobudur is via a hotel entrance and 400k+ IDR, and I didn't go for that.If you came by bike, park it outside of the compound and walk in. I came during the National day (17 August) and it was heavily discounted from 40k to 10k IDR. Foreigner's price was 20 USD. Why the huge difference?? Is this a rip-off?? The answer is ""No"", most of the locals earn 300 USD a month, can't expect to charge them the same.I came to this place 10+ years ago and now I feel that it is way more structured and convenient. Grab your tickets from the local or foreigner booths. Go in, choose whether you need a guide. Walk 100m on a nice clean path and Borobudur temple sighted from afar.The structured and statues started to get better maintenance, as it was rocked by couple of earthquakes years ago. Enjoy the sight, do some photo taking with some poses. Do not climb, damage or remove anything from site.If you need any cheap shirts, you may do so after the exits. Ignore the touts near the exits and walk to the nice covered compound with stores/stalls. Some shirts are priced at 100k for 6/7 pieces. The locals are not pushy and nice, treat them with respect and hoard those shirts and souvenirs. This place is huge, so walk some more to less crowded stalls, you may get cheaper deals.",2017-08-18,,2017-08,,,
United Kingdom,4.0,"Borubador I have long wanted to see Borobudur and was excited when the opportunity to visit finally presented itself. I rented a car and driver and set off from Yogyakarta around 8.15am and was there by 9.30am and arrived just ahead of bus loads of tourists but not early enough to avoid them. As you enter the complex you are assailed by hawkers trying to sell junk and tat. To be fair they leave you along with a simple but firm NO!.You are the presented with two signs one directing Indonesians to a ticket office and another directing Foreigners to a separate ticket office. If you are not Indonesian then be prepared to be ripped off by yet another example of outrageous price differentiation. Non Indonesians will pay more than 10 times what Indonesians will pay. I find this type of pricing structure outrageous and such a scheme in Europe would be roundly and rightly criticised.I bought a joint ticket at $40 which allowed me to visit both Borobudur and Prambenan. Again the price in dollars is converted to Rupiah at the sites exchange rate and is odd as I have signs all over Indonesia which suggest that Rupiah must be the currency used. Why use dollars when the country has a perfectly satisfactory and exchangeable currency.Ticket secured you are provided with a sarong which must be worn. This is after all a religious site. You then pass through checks including airport style checks that are ineffective. You then enter the grounds.It's about 1km from the ticket office to the steps of The Temple. I climbed the steps to the top along with now many hundreds of others. There were so many people that it was difficult to take photographs without some getting in the way. There is also very little shadeDespite the masses it was rather magical and I spent 90 minutes wandering around taken pictures whenever I could. Someone had a drone and I have to say these are more of a nuisance than selfie sticks and should be banned from all tourist sites. They are intrusive and irritating with an incessant buzzing which destroys the atmosphere.The exit from the Temple is not the same route as you enter and at the end of a long path you return your sarong. You can go to the museum which I did but it was not very well laid out and rather dull. It could be so much better and indeed for the entrance fee should be magnificent and air conditioned! It was interesting to read about the history of the site and its many refurbishments. I left wondering how much of what I had seen was original. As I left I passed a small fish pond filled with Koi carp struggling to swim and survive in very shallow water. The pond was being refilled but several larger fish were floundering on their sides unable to swim. It was unpleasant and wholly unnecessary.Following the exit signs I made my way back to the car through a market selling T shirts and souvenirs. It was huge and took ""exiting via the gift shop"" to a whole new level.I was pleased I went and pleased to have seen Borobudur. I would not however return and think that so much more is required for the outrageous entrance fee charged to foreign tourists.",2017-08-18,Family,2017-08,united kingdom,54.7023545,-3.2765753
"Singapore, Singapore",5.0,"Here to catch the sunrise as much recommended by most people, sunrise at Borobudur temple is a must for all to Yogyakarta. Yes, it is definitely stand up as recommended. The view from top of the hill surely mesmerising.Note : Please bring a jacket as the weather in the morning is rather cold especially you are going to be high up. And be there early so you can grab a nice spot. Entrance from Manohara Hotel gives you the best view for sunrise",2017-08-17,Solo,2017-08,singapore,1.357107,103.8194992
,5.0,Read your history-this place is incredible. Depending on what you get out of things like this you may want a two day stay. Get up early and do the sunrise- stunning!,2017-08-17,Couples,2017-08,,,
"Bengaluru, India",5.0,"Borobudur (Candi Borobudur) is the world's largest Buddhist temple and a UNESCO world heritage site. Located roughly around 40 kms from Yogyakarta,  Its the most visited site in Indonesia and very popular among foreigners and also local tourists. BOROBUDUR sunrise is very popular especially on a clear sky where u can see a beautiful sunrise on this magnificent temple built in 9th century by Sailendra  dynasty rulers. we have to book the sunrise tickets on the website or through the travel agents and reach by around 4.00 am and enter the temple complex through Manohara hotel complex. they provide torch, a poncho (if it rains) and later snacks with coffee/ Tea for the tickets. The view is fantastic and mesmerizing. later u can go around the temple complex after sunrise, snacks and tea. Its a huge complex which has 504 Buddha statues and around 2600 relief panels. There are 10 levels in the temple complex.its very well maintained and requires 2-3 hours to admire the complex. On a clear day Mount Merapi can also been seen from this temple complex. it is a must visit site for those who travel to Indonesia.",2017-08-17,Family,2017-07,india,22.3511148,78.6677428
,5.0,"Located in the heart of Borobodour lies this beautiful, serene temple. We decided to visit it around 10am and skip the crowds for sunrise tour. We bought our ticket outside of the park where we parked our bikes. Paid 310,000 instead of 325,000. The whole park is well taken care of, nice facilities and the temple is beyond beautiful. Definitely a must see!",2017-08-16,Couples,2017-08,,,
"Mechelen, Belgium",5.0,"Sure we did the sunrise tour, for walk in customers to the nearby hotel they charge 450000 IDR, which can be paid by credit card. It is all well organized, don't worry.  The cost is worth it: it is a world class monument, wonderful architecture, please get familiar with the stories behind it.",2017-08-16,Couples,2017-07,belgium,50.6402809,4.6667145
"Groningen, The Netherlands",5.0,"At such a beautiful temple with stunning bell-like statues, large groups of kids wanted to take photos of all the tourists at the temple, haha. We made the mistake of talking to some British tourists and then we were bombarded with children asking us for a photo. Quite an interesting experience that at such a place we were apparently more interesting. Definitely go to this place if you can!",2017-08-16,Friends,2016-09,netherlands,52.2434979,5.6343227
Germany,5.0,"Should we tell about the best visit this place in the pretty morning! Yes, that's true.I'd recommend to visit it in the Pretty morning, worth it and we are sure will be remembered.",2017-08-15,Couples,2017-07,germany,51.1638175,10.4478313
"Kuala Lumpur, Malaysia",4.0,"This is a great wonder of the world. A large temple complex. you need time to go through the main temple and slowly walk around all over over it, each rock slab is part of an epic story. there are a few other attractions as well, museums and exhibits in the complex.Note; the vendors can be very aggressive, but just ignore them if you are not interested in their goods..better buy your souvenirs at the shops outside the temple complex...a lot of shops available and PLEASE BARGAIN HARD.",2017-08-15,Couples,2017-02,malaysia,4.5693754,102.2656823
"Trier, Germany",5.0,our 2nd visit to Borobudur and still as impressive as the first time. Could spent hours hours walking around looking at the reliefs or just sitting on top and enjoying the view. Also worth going up Punthuk Setumbu to see Borobudur during sunset.,2017-08-14,Family,2017-08,germany,51.1638175,10.4478313
"Xi'an, China",5.0,"Go here! If you're in the area and have any interest in temples, Buddhism or history or for that matter spectacular conservation efforts go. Stunning scenery surrounding also adds to the experience. I'd recommend going as early as possible, that way you still get some free moments to revel in the quiet",2017-08-14,Solo,2017-08,china,35.000074,104.999927
"Mexico City, Mexico",5.0,"Visiting this temple at sunrise is a very special experience!  Buy your tickets before hand and arrive early, I guarantee you will never forget your visit!",2017-08-13,Family,2017-07,mexico,19.4326296,-99.1331785
"Singapore, Singapore",3.0,"Woke up at 3.45am to catch a ride from my hotel to the temple. Arrived at the temple before proceeding to purchase the ticket. 1 ticket cost 450.000 IDR and entitles you to a torchlight and light snacks after the sunrise. You then make your way to the temple and face East for the sunrise. Unfortunately, it was a cloudy day. The view surrounding the temple is a sight, but the temple itself as a structure, was a bit underwhelming.",2017-08-13,,2017-08,singapore,1.357107,103.8194992
,5.0,"We went to the temple to experience the sunrise and spent almost 3 hours there. It was definitely one of the best times of my life. It is crowded at that time, it's true, but if you go up to the last level of the temple and find a spot to watch the sun making its way on top of the vulcano and the sky turning so beautifully pink... you will just forget the world around you and find peace. I wild definitely recommend to go at the sunrise because beyond the incredible light you will then have the sun illuminating the 2672 bas relief sculpture present on the walls of the temple and illustrating key Buddhist themes such as the Karma, Buddha's birth, his infancy and His path to Nirvana. The scenery is incredibly panoramic all around and resting for the eye as it is prevalently green lush mountain. The sunrise ticket is quite expensive and it offers a very small breakfast (two pasties and coffe/tea). But the highlight of this all is the magnificent fascinating temple itself. I would go there again and again.",2017-08-13,,2017-08,,,
California,5.0,"Beautiful both during sunrise and sunset. For sunrise tour, go there for the experience, not for pictures as they will be a million other people joining you (likely to have strangers in your pictures). The atmosphere in the morning was really nice with low fog hanging in front of the mountain. The steps to the top are quite steep. Might be a tough climb if you have knee problems. I would recommend going between 6-9am, after that it can get really really hot and unpleasant. You're not supposed to wear shorts/sleeveless shirt. If you do, they will give you a sarong to wear in the complex. Bring plenty of sunscreen and apply frequently. The sun is very strong!",2017-08-13,Family,2017-08,united states,39.7837304,-100.445882
"Oslo, Norway",5.0,Bought entrance tickets for sunset. This was a good choice as there turned out to be a smaller number of people there and there was a better chance of taking lots of beautiful pictures. Really beautiful temple and landscape around.,2017-08-12,Couples,2017-08,norway,64.5731537,11.52803643954819
"Bandung, Indonesia",5.0,"Greatest temple, iconic temple in java - indonesia, just makesure you use proper clothe (but they will prepare saroong there), makesure your body quite health, due to you have you take a little bit tour so you able to see how amazing this temple. I  will be back to this amazing temple. Thanks",2017-08-12,Couples,2016-09,indonesia,-2.4833826,117.8902853
"Singapore, Singapore",4.0,Sunrise View in Borobudur is only accessible through Manohara Hotel. There is No Doubt that Borobudur Temple is a must see and Must place to visit in Yogya. Highly recommended during sunrise!!! See it for yourself!!! It is simply amazing to spend and see the sunrise in this Largest Buddhist Temple in the World!!!,2017-08-12,Solo,2017-08,singapore,1.357107,103.8194992
